StoreName,StoreCode,Latitude,Longitude,Elevation,ShopAddress,Telephone,ReviewStars
Chanel IFC,IFC,22.28588000000000,114.15813100000000,14m,"香港中環國際金融中心商場, IFC Mall, Shop 1060, 1/F",(852) 28050880,5
Chanel Prince's Building,HM3,22.28122570000000,114.15926279999900,29m,"香港中環遮打道, Prince's Building, Shop M30",(852) 29736566,4.5
Chanel Hysan Place ,HHP,22.27980790000000,114.18378830000000,N/A,"香港銅鑼灣軒尼詩道500號, Hysan Place, Shop 106-107, 1/F",(852) 25032206,5
Chanel City Plaza ,119,22.37478500000000,114.11425439999900,30 m,"Shop 225 & 226, 2/F, 18 Tai Koo Shing Road, Cityplaza, HK",(852) 29794878,4.5
Chanel Elements,HEM,22.30487080000000,114.16152190000000,21 m,"Shop 2101, 1 Austin Road West, Elements, HK",(852) 21968289,5
Chanel Festival Walk,HFW,22.33729710000000,114.17452730000000,N/A,"Shop G-41, Festival Walk, Tat Chee Avenue, Kowloon Tong, HK",(852) 22658632,4.5
Chanel Telford Plaza,HTP,22.32106520000000,114.21327680000000,33 m,"Shop G72A, Telford Plaza 1, 33 Wai Yip Street, Kowloon Bay, HK",(852) 27963813,5
Chanel New Town Plaza,HNT,22.38145920000000,114.18893070000000,12 m,"Shop 376, Level 3, New Town Plaza Phase 1, Shatin, New Territories, HK",(852) 26972995,4.5
